"COMID","urban","forest","wetland","agrc","shrub","turban","tforest","twetland","tagrc","tshrub"
"23100062",3.5,0,5.89,77.97,5.81,5.3,20.15,3.32,11.79,57.87
"23100064",6.13,0.79,10.96,61.54,20.57,5.28,20.52,3.15,11.18,58.32
"23100066",6.44,0.3,18.41,51.41,23.44,5.2,21.34,3,10,59.17
"23100068",4.56,0.22,17.9,68.98,8.35,5.19,21.44,2.92,9.79,59.35
"23100070",6.84,0,6.22,42.1,42.75,5.08,23.06,3.1,8.85,58.49
"23100072",3.72,0,18.07,74.62,1.35,4.93,24.99,2.83,6.08,59.81
"23100074",16.31,0.18,19.68,60.64,3.19,4.96,26.26,2.71,4.88,59.8
"23100076",21.46,1.74,38.26,31.88,6.67,5.06,26.9,2.87,4.01,59.58
"23100078",10.42,0.33,8.31,33.33,46.1,5.02,27.53,2.85,3.86,59.13
"23100080",0.86,0,10.49,68.39,20.25,4.97,27.91,2.78,3.17,59.54
"23100082",10.28,0,23.43,41.72,24.57,5.16,29.98,2.87,2.42,57.85
"23100084",3.03,0,15.37,0.1,81.49,5.22,30.61,2.92,2.21,57.29
"23100086",8,0.34,6.05,18.41,67.2,5.23,30.74,2.87,2.22,57.19
"23100088",5.33,0,37.78,18.78,38.11,5.37,34.46,2.59,1.97,53.63
"23100090",0,0,96.78,3.23,0,5.46,35.63,2.43,1.55,52.89
"23100092",0,0,35,40,25,5.42,36.27,2.4,1.04,52.79
"23100094",3.59,0,4.23,30.04,62.13,5.76,38.86,2.54,0.94,49.73
"23100096",5.59,0.46,12.1,22.32,59.53,6.28,43.84,2.76,0.45,44.35
"23100098",0.41,5.77,18.76,36.91,38.14,6.33,44.75,2.67,0.17,43.71
"23100100",0.83,5.39,36.93,11.62,37.34,6.44,45.44,2.64,0.02,43.07
"23100102",3.35,1.59,26.25,0,65.11,5.66,43.55,2.42,0,46.96
"23100104",7.28,3.47,6.61,0,82.64,5.7,44.23,2.03,0,46.67
"23100106",6.65,9.05,8.63,0,75.67,5.64,45.99,1.94,0,44.99
"23100108",4.46,9.53,13.45,0,72.56,5.61,47.39,1.69,0,43.82
